pdbid,logKd-Ki,Delta_H0 (kJ/mol),Delta_H0 (kJ/mol)
4i2w,3.92,4.74,4.74
4pd7,3.92,4.74,4.74
3jvk,3.93,4.74,4.74
3qi4,3.93,4.74,4.74
4dho,3.93,4.74,4.74
1z3t,3.94,4.74,4.74
3bwk,3.94,4.74,4.74
3pp7,3.94,4.74,4.74
3t0m,3.94,4.74,4.74
4fcm,3.94,4.74,4.74
4hv3,3.94,4.74,4.74
4k3q,3.94,4.74,4.74
4kva,3.94,4.74,4.74
4rgd,3.94,4.74,4.74
2lo6,3.95,4.74,4.74
2xvn,3.95,4.74,4.74
3c0z,3.95,4.74,4.74
3kze,3.95,4.74,4.74
1x9d,3.96,4.74,4.74
2ad5,3.96,4.74,4.74
2kvm,3.96,4.74,4.74
2l1b,3.96,4.74,4.74
2odd,3.96,4.74,4.74
2vi5,3.96,4.74,4.74
3h2a,3.96,4.74,4.74
3uxg,3.96,4.74,4.74
4ac3,3.96,4.74,4.74
4ce3,3.96,4.74,4.74
4joj,3.96,4.74,4.74
4yyn,3.96,4.74,4.74
4zmf,3.96,4.74,4.74
5c3k,3.96,4.74,4.74
1ai6,3.97,4.74,4.74
1l5q,3.97,4.74,4.74
2flh,3.97,4.74,4.74
3fu6,3.97,4.74,4.74
4aa2,3.97,4.74,4.74
4twy,3.97,4.74,4.74
2l7u,3.98,4.74,4.74
2uup,3.98,4.74,4.74
5c7f,3.98,4.74,4.74
2q8y,3.99,4.74,4.74
3chg,3.99,4.74,4.74
4edu,3.99,4.74,4.74
4u2y,3.99,4.74,4.74
1a7c,4,4.74,4.74
1a86,4,4.74,4.74
1fhr,4,4.74,4.74
1gfz,4,4.74,4.74
1kqb,4,4.74,4.74
1la3,4,4.74,4.74
1tlo,4,4.74,4.74
1utt,4,4.74,4.74
1wc6,4,4.74,4.74
1z3c,4,4.74,4.74
2bow,4,4.74,4.74
2brp,4,4.74,4.74
2c8y,4,4.74,4.74
2j9l,4,4.74,4.74
2ja3,4,4.74,4.74
2kfx,4,4.74,4.74
2kp8,4,4.74,4.74
2qcg,4,4.74,4.74
3c4e,4,4.74,4.74
3fck,4,4.74,4.74
3qzt,4,4.74,4.74
3r9h,4,4.74,4.74
3r9o,4,4.74,4.74
3rpr,4,4.74,4.74
3rzb,4,4.74,4.74
3tvl,4,4.74,4.74
4ai8,4,4.74,4.74
4ayw,4,4.74,4.74
4cfu,4,4.74,4.74
4gjb,4,4.74,4.74
4gxs,4,4.74,4.74
4l7g,4,4.74,4.74
4tuh,4,4.74,4.74
4ucd,4,4.74,4.74
4usj,4,4.74,4.74
4wym,4,4.74,4.74
4ylu,4,4.74,4.74
5a5p,4,4.74,4.74
5akk,4,4.74,4.74
1b42,4.01,4.74,4.74
2aoi,4.01,4.74,4.74
2vtl,4.01,4.74,4.74
3kqw,4.01,4.74,4.74
3s3k,4.01,4.74,4.74
4eym,4.01,4.74,4.74
5auz,4.01,4.74,4.74
3as1,4.02,4.74,4.74
3ddb,4.02,4.74,4.74
3ztd,4.02,4.74,4.74
4k8a,4.02,4.74,4.74
1mv0,4.03,4.74,4.74
2ohp,4.03,4.74,4.74
2rm0,4.03,4.74,4.74
2w0z,4.03,4.74,4.74
3mt7,4.03,4.74,4.74
3ueo,4.03,4.74,4.74
4kab,4.03,4.74,4.74
4pri,4.03,4.74,4.74
4wmv,4.03,4.74,4.74
1l7x,4.04,4.74,4.74
2c02,4.04,4.74,4.74
4nmp,4.04,4.74,4.74
4ps0,4.04,4.74,4.74
4y2v,4.04,4.74,4.74
1awi,4.05,4.74,4.74
1pwy,4.05,4.74,4.74
2rk7,4.05,4.74,4.74
3d9n,4.05,4.74,4.74
3isw,4.05,4.74,4.74
3thd,4.05,4.74,4.74
4xm6,4.05,4.74,4.74
4y32,4.05,4.74,4.74
2clo,4.06,4.74,4.74
2loz,4.06,4.74,4.74
3h2f,4.06,4.74,4.74
4fem,4.06,4.74,4.74
1at6,4.07,4.74,4.74
1gj4,4.07,4.74,4.74
1wax,4.07,4.74,4.74
2va5,4.07,4.74,4.74
2vtd,4.07,4.74,4.74
2wgi,4.07,4.74,4.74
2x5o,4.07,4.74,4.74
3avb,4.07,4.74,4.74
3mag,4.07,4.74,4.74
3mct,4.07,4.74,4.74
4bdb,4.07,4.74,4.74
4eft,4.07,4.74,4.74
4jok,4.07,4.74,4.74
1lb6,4.08,4.74,4.74
1n2v,4.08,4.74,4.74
1y2g,4.08,4.74,4.74
2auc,4.08,4.74,4.74
2d06,4.08,4.74,4.74
2kmx,4.08,4.74,4.74
3f8w,4.08,4.74,4.74
3r42,4.08,4.74,4.74
3rxo,4.08,4.74,4.74
4xdo,4.08,4.74,4.74
5a5z,4.08,4.74,4.74
1jn2,4.09,4.74,4.74
1y2b,4.09,4.74,4.74
2lk1,4.09,4.74,4.74
3chc,4.09,4.74,4.74
3rmf,4.09,4.74,4.74
4bdf,4.09,4.74,4.74
4c1h,4.09,4.74,4.74
4mji,4.09,4.74,4.74
4p72,4.09,4.74,4.74
4qkd,4.09,4.74,4.74
1gwm,4.1,4.74,4.74
1lxf,4.1,4.74,4.74
1rry,4.1,4.74,4.74
1rzx,4.1,4.74,4.74
2f18,4.1,4.74,4.74
2qiq,4.1,4.74,4.74
2qju,4.1,4.74,4.74
2uw3,4.1,4.74,4.74
2xuc,4.1,4.74,4.74
3b78,4.1,4.74,4.74
3ewz,4.1,4.74,4.74
4c66,4.1,4.74,4.74
4do3,4.1,4.74,4.74
4k6t,4.1,4.74,4.74
4p75,4.1,4.74,4.74
4uyd,4.1,4.74,4.74
1d6s,4.11,4.74,4.74
1z3v,4.11,4.74,4.74
2c1n,4.11,4.74,4.74
2o9k,4.11,4.74,4.74
2uw8,4.11,4.74,4.74
3l5d,4.11,4.74,4.74
3ncr,4.11,4.74,4.74
4bdh,4.11,4.74,4.74
4lh6,4.11,4.74,4.74
1bsk,4.12,4.74,4.74
1bsk,4.12,4.74,4.74
1i33,4.12,4.74,4.74
1uy8,4.12,4.74,4.74
3fu5,4.12,4.74,4.74
3ivq,4.12,4.74,4.74
3th0,4.12,4.74,4.74
4aa1,4.12,4.74,4.74
4bdg,4.12,4.74,4.74
4mi3,4.12,4.74,4.74
4whq,4.12,4.74,4.74
4whr,4.12,4.74,4.74
4hxj,4.13,4.74,4.74
1gny,4.14,4.74,4.74
3adu,4.14,4.74,4.74
3sna,4.14,4.74,4.74
3t4n,4.14,4.74,4.74
3tvx,4.14,4.74,4.74
4k6u,4.14,4.74,4.74
4trw,4.14,4.74,4.74
1om9,4.15,4.74,4.74
2alv,4.15,4.74,4.74
2mc1,4.15,4.74,4.74
2toh,4.15,4.74,4.74
3axk,4.15,4.74,4.74
3m56,4.15,4.74,4.74
3q8h,4.15,4.74,4.74
3r9d,4.15,4.74,4.74
3wk9,4.15,4.74,4.74
4esi,4.15,4.74,4.74
4o45,4.15,4.74,4.74
4ok3,4.15,4.74,4.74
5afm,4.15,4.74,4.74
3d3x,4.16,4.74,4.74
3qzv,4.16,4.74,4.74
4bi1,4.16,4.74,4.74
4klb,4.16,4.74,4.74
1mns,4.17,4.74,4.74
2pl9,4.17,4.74,4.74
2vxj,4.17,4.74,4.74
3d9l,4.17,4.74,4.74
4azt,4.17,4.74,4.74
4b9w,4.17,4.74,4.74
4jof,4.17,4.74,4.74
4nzb,4.17,4.74,4.74
4q1s,4.17,4.74,4.74
4w54,4.17,4.74,4.74
1o9e,4.18,4.74,4.74
2lh8,4.18,4.74,4.74
3avl,4.18,4.74,4.74
1at5,4.19,4.74,4.74
1k3t,4.19,4.74,4.74
2pmc,4.19,4.74,4.74
2wl4,4.19,4.74,4.74
3ayd,4.19,4.74,4.74
3ds4,4.19,4.74,4.74
3ee2,4.19,4.74,4.74
3my5,4.19,4.74,4.74
3nok,4.19,4.74,4.74
3srb,4.19,4.74,4.74
4j8g,4.19,4.74,4.74
4yyi,4.19,4.74,4.74
2x4s,4.2,4.74,4.74
3b8h,4.2,4.74,4.74
3hqh,4.2,4.74,4.74
3rg2,4.2,4.74,4.74
4wbo,4.2,4.74,4.74
4x1p,4.2,4.74,4.74
1ulg,4.21,4.74,4.74
1yon,4.21,4.74,4.74
2j83,4.21,4.74,4.74
2qmj,4.21,4.74,4.74
3sov,4.21,4.74,4.74
3uec,4.21,4.74,4.74
3wkb,4.21,4.74,4.74
4pda,4.21,4.74,4.74
4tw6,4.21,4.74,4.74
4ucs,4.21,4.74,4.74
1aze,4.22,4.74,4.74
1gx0,4.22,4.74,4.74
1joj,4.22,4.74,4.74
2imb,4.22,4.74,4.74
2kzu,4.22,4.74,4.74
2l65,4.22,4.74,4.74
2ltw,4.22,4.74,4.74
4asy,4.22,4.74,4.74
4k63,4.22,4.74,4.74
4yy6,4.22,4.74,4.74
1prl,4.23,4.74,4.74
1prm,4.23,4.74,4.74
3nii,4.23,4.74,4.74
4bi0,4.23,4.74,4.74
4x3h,4.23,4.74,4.74
5ak4,4.23,4.74,4.74
2ksp,4.24,4.74,4.74
3ayc,4.24,4.74,4.74
3cj3,4.24,4.74,4.74
3uwk,4.24,4.74,4.74
4f8h,4.24,4.74,4.74
4fpk,4.24,4.74,4.74
1juq,4.25,4.74,4.74
2mji,4.25,4.74,4.74
3d27,4.25,4.74,4.74
3u4h,4.25,4.74,4.74
4lpg,4.25,4.74,4.74
1u8t,4.26,4.74,4.74
2l12,4.26,4.74,4.74
3lk1,4.26,4.74,4.74
3tdh,4.26,4.74,4.74
3zmv,4.26,4.74,4.74
4w9n,4.26,4.74,4.74
1uyg,4.27,4.74,4.74
3ijg,4.27,4.74,4.74
4aoc,4.27,4.74,4.74
4bhz,4.27,4.74,4.74
1i5h,4.28,4.74,4.74
1ml1,4.28,4.74,4.74
2g96,4.28,4.74,4.74
2jo9,4.28,4.74,4.74
2wmr,4.28,4.74,4.74
3cr4,4.28,4.74,4.74
3i4a,4.28,4.74,4.74
3tzd,4.28,4.74,4.74
4b95,4.28,4.74,4.74
4fak,4.28,4.74,4.74
4y2s,4.28,4.74,4.74
5a6n,4.28,4.74,4.74
5al1,4.28,4.74,4.74
1v2m,4.29,4.74,4.74
3zyh,4.29,4.74,4.74
4z7q,4.29,4.74,4.74
1mfg,4.3,4.74,4.74
1ppw,4.3,4.74,4.74
1qm4,4.3,4.74,4.74
1rs2,4.3,4.74,4.74
1xsc,4.3,4.74,4.74
2cll,4.3,4.74,4.74
2pix,4.3,4.74,4.74
2xnn,4.3,4.74,4.74
2ylp,4.3,4.74,4.74
2ylq,4.3,4.74,4.74
3mta,4.3,4.74,4.74
3n46,4.3,4.74,4.74
4cqf,4.3,4.74,4.74
4iu1,4.3,4.74,4.74
4kij,4.3,4.74,4.74
4o24,4.3,4.74,4.74
4o5g,4.3,4.74,4.74
4u0a,4.3,4.74,4.74
4u0b,4.3,4.74,4.74
4wyz,4.3,4.74,4.74
1rgk,4.31,4.74,4.74
2wkt,4.31,4.74,4.74
2z3z,4.31,4.74,4.74
3q5u,4.31,4.74,4.74
3r8z,4.31,4.74,4.74
3vb4,4.31,4.74,4.74
3vb7,4.31,4.74,4.74
3wk8,4.31,4.74,4.74
4b7z,4.31,4.74,4.74
4mi6,4.31,4.74,4.74
4ny3,4.31,4.74,4.74
4u0c,4.31,4.74,4.74
4u0d,4.31,4.74,4.74
1gu3,4.32,4.74,4.74
2boi,4.32,4.74,4.74
2x4u,4.32,4.74,4.74
3c3q,4.32,4.74,4.74
3nth,4.32,4.74,4.74
3tpu,4.32,4.74,4.74
4hco,4.32,4.74,4.74
2uze,4.33,4.74,4.74
3aya,4.33,4.74,4.74
4cc2,4.33,4.74,4.74
4cc7,4.33,4.74,4.74
1jyc,4.34,4.74,4.74
2iv9,4.34,4.74,4.74
3r5m,4.34,4.74,4.74
5agi,4.34,4.74,4.74
1t37,4.35,4.74,4.74
1zm6,4.35,4.74,4.74
2rok,4.35,4.74,4.74
3feg,4.35,4.74,4.74
4a2a,4.35,4.74,4.74
4eeh,4.35,4.74,4.74
4ez3,4.35,4.74,4.74
4j82,4.35,4.74,4.74
1n5z,4.36,4.74,4.74
1wbw,4.36,4.74,4.74
1we2,4.36,4.74,4.74
2fys,4.36,4.74,4.74
3c3o,4.36,4.74,4.74
3dpc,4.36,4.74,4.74
3wpn,4.36,4.74,4.74
4idz,4.36,4.74,4.74
5alv,4.36,4.74,4.74
1bug,4.37,4.74,4.74
2jdy,4.37,4.74,4.74
2zif,4.37,4.74,4.74
4clz,4.37,4.74,4.74
4o3t,4.37,4.74,4.74
1p7m,4.38,4.74,4.74
1qvt,4.38,4.74,4.74
2wmu,4.38,4.74,4.74
2y4a,4.38,4.74,4.74
3nfl,4.38,4.74,4.74
3sc1,4.38,4.74,4.74
3snb,4.38,4.74,4.74
4ce1,4.38,4.74,4.74
5afj,4.38,4.74,4.74
1uyc,4.39,4.74,4.74
3c3r,4.39,4.74,4.74
3snc,4.39,4.74,4.74
3tll,4.39,4.74,4.74
4b82,4.39,4.74,4.74
4bek,4.39,4.74,4.74
4mdr,4.39,4.74,4.74
4p4t,4.39,4.74,4.74
1btn,4.4,4.74,4.74
1jmq,4.4,4.74,4.74
1py1,4.4,4.74,4.74
2vio,4.4,4.74,4.74
3fn0,4.4,4.74,4.74
3i5r,4.4,4.74,4.74
3itu,4.4,4.74,4.74
3l6x,4.4,4.74,4.74
3np9,4.4,4.74,4.74
3unn,4.4,4.74,4.74
3va4,4.4,4.74,4.74
3zls,4.4,4.74,4.74
4b80,4.4,4.74,4.74
4pl0,4.4,4.74,4.74
4zh3,4.4,4.74,4.74
5aer,4.4,4.74,4.74
5ai6,4.4,4.74,4.74
6cha,4.4,4.74,4.74
6rsa,4.4,4.74,4.74
7kme,4.4,4.74,4.74
1i8j,4.41,4.74,4.74
1l6s,4.41,4.74,4.74
3iqi,4.41,4.74,4.74
3rqf,4.41,4.74,4.74
3vb6,4.41,4.74,4.74
3zqt,4.41,4.74,4.74
4qn9,4.41,4.74,4.74
4usi,4.41,4.74,4.74
5bot,4.41,4.74,4.74
1h00,4.42,4.74,4.74
1rsi,4.42,4.74,4.74
2poq,4.42,4.74,4.74
2wfg,4.42,4.74,4.74
3igb,4.42,4.74,4.74
3p23,4.42,4.74,4.74
3qvv,4.42,4.74,4.74
3rtm,4.42,4.74,4.74
4nrb,4.42,4.74,4.74
1rgl,4.43,4.74,4.74
1rst,4.43,4.74,4.74
2f6v,4.43,4.74,4.74
2ha0,4.43,4.74,4.74
3b82,4.43,4.74,4.74
3pxq,4.43,4.74,4.74
3r69,4.43,4.74,4.74
3tvw,4.43,4.74,4.74
3vbt,4.43,4.74,4.74
4bdd,4.43,4.74,4.74
4joo,4.43,4.74,4.74
4mnq,4.43,4.74,4.74
1k2v,4.44,4.74,4.74
2q9y,4.44,4.74,4.74
3ex3,4.44,4.74,4.74
3hfj,4.44,4.74,4.74
3iiw,4.44,4.74,4.74
3k27,4.44,4.74,4.74
3okc,4.44,4.74,4.74
3pd3,4.44,4.74,4.74
3wb4,4.44,4.74,4.74
4d1b,4.44,4.74,4.74
4dhp,4.44,4.74,4.74
4hcz,4.44,4.74,4.74
4jfd,4.44,4.74,4.74
4k3o,4.44,4.74,4.74
4x2l,4.44,4.74,4.74
4zsr,4.44,4.74,4.74
1zhk,4.45,4.74,4.74
3atp,4.45,4.74,4.74
4g2r,4.45,4.74,4.74
4h71,4.45,4.74,4.74
1qvu,4.46,4.74,4.74
1v1k,4.46,4.74,4.74
1w84,4.46,4.74,4.74
1wvc,4.46,4.74,4.74
2h9m,4.46,4.74,4.74
2j4q,4.46,4.74,4.74
2lyb,4.46,4.74,4.74
2pt9,4.46,4.74,4.74
2v85,4.46,4.74,4.74
2v86,4.46,4.74,4.74
2zit,4.46,4.74,4.74
3bmn,4.46,4.74,4.74
3jq8,4.46,4.74,4.74
3jqa,4.46,4.74,4.74
3jqf,4.46,4.74,4.74
3pqz,4.46,4.74,4.74
3sgv,4.46,4.74,4.74
3tsz,4.46,4.74,4.74
4urn,4.46,4.74,4.74
5akg,4.46,4.74,4.74
2bj4,4.47,4.74,4.74
2f70,4.47,4.74,4.74
2v83,4.47,4.74,4.74
3hec,4.47,4.74,4.74
3skk,4.47,4.74,4.74
4cix,4.47,4.74,4.74
4lh7,4.47,4.74,4.74
4mra,4.47,4.74,4.74
4owo,4.47,4.74,4.74
4ym4,4.47,4.74,4.74
5afn,4.47,4.74,4.74
5eay,4.47,4.74,4.74
1r5v,4.48,4.74,4.74
1zkk,4.48,4.74,4.74
2jq9,4.48,4.74,4.74
2wwj,4.48,4.74,4.74
2xln,4.48,4.74,4.74
3bsc,4.48,4.74,4.74
3pd4,4.48,4.74,4.74
3s0o,4.48,4.74,4.74
3udm,4.48,4.74,4.74
3vd7,4.48,4.74,4.74
4bvb,4.48,4.74,4.74
4eke,4.48,4.74,4.74
4rxc,4.48,4.74,4.74
2prj,4.49,4.74,4.74
3f9y,4.49,4.74,4.74
3l2y,4.49,4.74,4.74
3udk,4.49,4.74,4.74
4ccd,4.49,4.74,4.74
4dhq,4.49,4.74,4.74
4nmq,4.49,4.74,4.74
1d6n,4.5,4.74,4.74
4j81,4.5,4.74,4.74
1zkn,4.51,4.74,4.74
2xct,4.51,4.74,4.74
2yog,4.51,4.74,4.74
2zlf,4.51,4.74,4.74
3puj,4.51,4.74,4.74
4d2w,4.51,4.74,4.74
4jfe,4.51,4.74,4.74
4jxv,4.51,4.74,4.74
4z2o,4.51,4.74,4.74
5auv,4.51,4.74,4.74
1a85,4.52,4.74,4.74
1uyf,4.52,4.74,4.74
1xz8,4.52,4.74,4.74
1z4n,4.52,4.74,4.74
2bua,4.52,4.74,4.74
2gfk,4.52,4.74,4.74
2h1h,4.52,4.74,4.74
2lyw,4.52,4.74,4.74
2opy,4.52,4.74,4.74
2puy,4.52,4.74,4.74
2vl8,4.52,4.74,4.74
2vur,4.52,4.74,4.74
2xf0,4.52,4.74,4.74
3dga,4.52,4.74,4.74
3fdt,4.52,4.74,4.74
3g4f,4.52,4.74,4.74
3ksl,4.52,4.74,4.74
3lau,4.52,4.74,4.74
3q7j,4.52,4.74,4.74
3r0w,4.52,4.74,4.74
3t0l,4.52,4.74,4.74
3w5t,4.52,4.74,4.74
4dcy,4.52,4.74,4.74
4igq,4.52,4.74,4.74
4p0a,4.52,4.74,4.74
4pku,4.52,4.74,4.74
4pml,4.52,4.74,4.74
4pnn,4.52,4.74,4.74
4pns,4.52,4.74,4.74
4pyn,4.52,4.74,4.74
4pyo,4.52,4.74,4.74
3l81,4.53,4.74,4.74
3ued,4.53,4.74,4.74
5dms,4.53,4.74,4.74
1czq,4.54,4.74,4.74
1i8h,4.54,4.74,4.74
1lzo,4.54,4.74,4.74
1oko,4.54,4.74,4.74
1w80,4.54,4.74,4.74
2frd,4.54,4.74,4.74
2v96,4.54,4.74,4.74
2w5i,4.54,4.74,4.74
3d9p,4.54,4.74,4.74
3wka,4.54,4.74,4.74
3zn1,4.54,4.74,4.74
4bd3,4.54,4.74,4.74
4m5h,4.54,4.74,4.74
4nw2,4.54,4.74,4.74
1czo,4.55,4.74,4.74
1h08,4.55,4.74,4.74
1rrw,4.55,4.74,4.74
1utc,4.55,4.74,4.74
2aof,4.55,4.74,4.74
2w92,4.55,4.74,4.74
2xag,4.55,4.74,4.74
3adt,4.55,4.74,4.74
3aqa,4.55,4.74,4.74
3as0,4.55,4.74,4.74
3mt8,4.55,4.74,4.74
3oq5,4.55,4.74,4.74
3vby,4.55,4.74,4.74
3zmt,4.55,4.74,4.74
4hkp,4.55,4.74,4.74
4igk,4.55,4.74,4.74
4leg,4.55,4.74,4.74
4mx5,4.55,4.74,4.74
4oz3,4.55,4.74,4.74
2cgv,4.56,4.74,4.74
3uw9,4.56,4.74,4.74
3ztc,4.56,4.74,4.74
4j73,4.56,4.74,4.74
1i41,4.57,4.74,4.74
1uj0,4.57,4.74,4.74
1w2g,4.57,4.74,4.74
2uzo,4.57,4.74,4.74
2y2n,4.57,4.74,4.74
3n8n,4.57,4.74,4.74
3p4w,4.57,4.74,4.74
3soq,4.57,4.74,4.74
3wb5,4.57,4.74,4.74
4ciy,4.57,4.74,4.74
4dhr,4.57,4.74,4.74
4erk,4.57,4.74,4.74
4gvd,4.57,4.74,4.74
4i11,4.57,4.74,4.74
5a3h,4.57,4.74,4.74
2k46,4.58,4.74,4.74
3nc4,4.58,4.74,4.74
3vvz,4.58,4.74,4.74
4qbm,4.58,4.74,4.74
1d04,4.59,4.74,4.74
1fj4,4.59,4.74,4.74
1iew,4.59,4.74,4.74
1kak,4.59,4.74,4.74
1l2s,4.59,4.74,4.74
1vcj,4.59,4.74,4.74
2c69,4.59,4.74,4.74
2x6f,4.59,4.74,4.74
2x6y,4.59,4.74,4.74
2y2i,4.59,4.74,4.74
2ybs,4.59,4.74,4.74
3h2o,4.59,4.74,4.74
3iqh,4.59,4.74,4.74
3msk,4.59,4.74,4.74
3ob2,4.59,4.74,4.74
4dcv,4.59,4.74,4.74
4nrp,4.59,4.74,4.74
4xbo,4.59,4.74,4.74
4xua,4.59,4.74,4.74
4zun,4.59,4.74,4.74
1f7b,4.6,4.74,4.74
1q9d,4.6,4.74,4.74
2fsv,4.6,4.74,4.74
2gg8,4.6,4.74,4.74
2hpa,4.6,4.74,4.74
2jaj,4.6,4.74,4.74
2kbr,4.6,4.74,4.74
2ohq,4.6,4.74,4.74
2q80,4.6,4.74,4.74
2r1w,4.6,4.74,4.74
2v87,4.6,4.74,4.74
2w6q,4.6,4.74,4.74
2yof,4.6,4.74,4.74
3cpb,4.6,4.74,4.74
3iqg,4.6,4.74,4.74
3lkj,4.6,4.74,4.74
3t2c,4.6,4.74,4.74
4dfb,4.6,4.74,4.74
4dfu,4.6,4.74,4.74
4prd,4.6,4.74,4.74
4prh,4.6,4.74,4.74
4v1c,4.6,4.74,4.74
4z2p,4.6,4.74,4.74
2xs8,4.61,4.74,4.74
2yga,4.61,4.74,4.74
13gs,4.62,4.74,4.74
1joc,4.62,4.74,4.74
1l0a,4.62,4.74,4.74
1mn9,4.62,4.74,4.74
1ofz,4.62,4.74,4.74
1sm3,4.62,4.74,4.74
1t5a,4.62,4.74,4.74
2a25,4.62,4.74,4.74
2k00,4.62,4.74,4.74
2rol,4.62,4.74,4.74
2ybk,4.62,4.74,4.74
2ybp,4.62,4.74,4.74
3ewu,4.62,4.74,4.74
3exo,4.62,4.74,4.74
3l0k,4.62,4.74,4.74
3p50,4.62,4.74,4.74
3tcy,4.62,4.74,4.74
3tcy,4.62,4.74,4.74
4hej,4.62,4.74,4.74
4os7,4.62,4.74,4.74
4pid,4.62,4.74,4.74
2rqu,4.63,4.74,4.74
3mtb,4.63,4.74,4.74
3v43,4.63,4.74,4.74
4c1f,4.63,4.74,4.74
4cfv,4.63,4.74,4.74
4k6v,4.63,4.74,4.74
4os5,4.63,4.74,4.74
1c85,4.64,4.74,4.74
2brh,4.64,4.74,4.74
2xaf,4.64,4.74,4.74
2yhd,4.64,4.74,4.74
2z3h,4.64,4.74,4.74
3c72,4.64,4.74,4.74
3wbl,4.64,4.74,4.74
4hbv,4.64,4.74,4.74
5e4w,4.64,4.74,4.74
2w87,4.65,4.74,4.74
4i1r,4.65,4.74,4.74
4j78,4.65,4.74,4.74
4pkw,4.65,4.74,4.74
1h01,4.66,4.74,4.74
1t49,4.66,4.74,4.74
2aoj,4.66,4.74,4.74
2nyr,4.66,4.74,4.74
2xg5,4.66,4.74,4.74
3egk,4.66,4.74,4.74
3h1z,4.66,4.74,4.74
3pkn,4.66,4.74,4.74
3rme,4.66,4.74,4.74
3sz1,4.66,4.74,4.74
4b84,4.66,4.74,4.74
4hso,4.66,4.74,4.74
4o42,4.66,4.74,4.74
4yih,4.66,4.74,4.74
4z90,4.66,4.74,4.74
1f47,4.67,4.74,4.74
2h23,4.67,4.74,4.74
2w6m,4.67,4.74,4.74
3oob,4.67,4.74,4.74
3ud9,4.67,4.74,4.74
3vw0,4.67,4.74,4.74
4e5g,4.67,4.74,4.74
4xum,4.67,4.74,4.74
1nyy,4.68,4.74,4.74
1ol1,4.68,4.74,4.74
3gl6,4.68,4.74,4.74
3qs4,4.68,4.74,4.74
3rv6,4.68,4.74,4.74
3uef,4.68,4.74,4.74
4l58,4.68,4.74,4.74
4o75,4.68,4.74,4.74
5auu,4.68,4.74,4.74
4j84,4.69,4.74,4.74
4z89,4.69,4.74,4.74
1agw,4.7,4.74,4.74
1fo2,4.7,4.74,4.74
1gpy,4.7,4.74,4.74
1v41,4.7,4.74,4.74
1xos,4.7,4.74,4.74
2c4w,4.7,4.74,4.74
2h9t,4.7,4.74,4.74
2j9n,4.7,4.74,4.74
2jc0,4.7,4.74,4.74
2k62,4.7,4.74,4.74
2mwo,4.7,4.74,4.74
2r3h,4.7,4.74,4.74
2xp6,4.7,4.74,4.74
2y54,4.7,4.74,4.74
2ybt,4.7,4.74,4.74
3dg8,4.7,4.74,4.74
3h21,4.7,4.74,4.74
3ij1,4.7,4.74,4.74
3kr0,4.7,4.74,4.74
3lm1,4.7,4.74,4.74
3p2k,4.7,4.74,4.74
3pab,4.7,4.74,4.74
3tg5,4.7,4.74,4.74
3uij,4.7,4.74,4.74
3uqf,4.7,4.74,4.74
3uxm,4.7,4.74,4.74
4fic,4.7,4.74,4.74
4huo,4.7,4.74,4.74
4o7b,4.7,4.74,4.74
4uiz,4.7,4.74,4.74
4uy1,4.7,4.74,4.74
6gch,4.7,4.74,4.74
2ig0,4.71,4.74,4.74
3fnm,4.71,4.74,4.74
3gwu,4.71,4.74,4.74
3h23,4.71,4.74,4.74
3qs5,4.71,4.74,4.74
4cu1,4.71,4.74,4.74
4gvc,4.71,4.74,4.74
1h7a,4.72,4.74,4.74
1urc,4.72,4.74,4.74
2o1c,4.72,4.74,4.74
3b9g,4.72,4.74,4.74
3cpj,4.72,4.74,4.74
3d9k,4.72,4.74,4.74
3f6h,4.72,4.74,4.74
3f9w,4.72,4.74,4.74
3oka,4.72,4.74,4.74
3okp,4.72,4.74,4.74
3omg,4.72,4.74,4.74
4d1a,4.72,4.74,4.74
4jxw,4.72,4.74,4.74
4m5l,4.72,4.74,4.74
4nan,4.72,4.74,4.74
4o70,4.72,4.74,4.74
4o7a,4.72,4.74,4.74
4oyi,4.72,4.74,4.74
1m51,4.73,4.74,4.74
1v2p,4.73,4.74,4.74
3vp4,4.73,4.74,4.74
4e5j,4.73,4.74,4.74
5a3o,4.73,4.74,4.74
1br8,4.74,4.74,4.74
1ce5,4.74,4.74,4.74
2uxu,4.74,4.74,4.74
2vd4,4.74,4.74,4.74
2w68,4.74,4.74,4.74
2wa4,4.74,4.74,4.74
2wyi,4.74,4.74,4.74
2xg3,4.74,4.74,4.74
2xzg,4.74,4.74,4.74
3erk,4.74,4.74,4.74
3g3d,4.74,4.74,4.74
3gxt,4.74,4.74,4.74
3hg1,4.74,4.74,4.74
3jqg,4.74,4.74,4.74
3kfn,4.74,4.74,4.74
3llm,4.74,4.74,4.74
3puk,4.74,4.74,4.74
3rl7,4.74,4.74,4.74
3ud7,4.74,4.74,4.74
3zmz,4.74,4.74,4.74
4cfm,4.74,4.74,4.74
4jfi,4.74,4.74,4.74
4m5m,4.74,4.74,4.74
4o71,4.74,4.74,4.74
4w55,4.74,4.74,4.74
4ds1,4.75,5.96,5.96
4mnx,4.75,5.96,5.96
2cgw,4.76,5.96,5.96
3atl,4.76,5.96,5.96
3hdk,4.76,5.96,5.96
3rxe,4.76,5.96,5.96
4au7,4.76,5.96,5.96
4cjn,4.76,5.96,5.96
4oef,4.76,5.96,5.96
4p7e,4.76,5.96,5.96
4uub,4.76,5.96,5.96
4z8a,4.76,5.96,5.96
1h62,4.77,5.96,5.96
1pxi,4.77,5.96,5.96
